"Features","Dilution","SampleType","Condition","Day","ZT","Sample","Gluconapin","Glucobrassicanapin_Sm","Glucobrassicanapin_Lg","Glucoerucin_Sm","Glucoerucin_Lg","Glucobrassicin","Glucoalyssin","Neoglucobrassicin_Lg","Neoglucobrassicin_Sm","Glutamate","RaphanusamicAcid","Sucrose","Glutamine","VisRegion","MOPs","2D_Norm","Sinigrin","Rep"
"Fourth_Initial_LD_Day1_ZT16_105","Fourth","Initial","LD","Day1","ZT16","105"," 59839708.00","        0.00","   106711.16","    15357.97","    44122.41","  2292547.75","   233898.62","   607177.00","    17665.82"," 14018290.00","   535657.81"," 32998476.00","  2105302.50","  4370482.00","362252928.00","  6577793.00","   102379.20","Rep1"
"Fourth_Initial_LD_Day1_ZT12_98","Fourth","Initial","LD","Day1","ZT12","98"," 19635462.00","        0.00","    53691.34","        0.00","    58600.36","  1091977.62","    84893.10","   828808.12","    30209.57","  7931671.00","   404322.16"," 37326948.00","  7409030.00","   374432.34","386968640.00","  4537833.00","    55277.89","Rep1"
"Fourth_Initial_LD_Day1_ZT4_85","Fourth","Initial","LD","Day1","ZT4","85"," 69700192.00","        0.00","   155134.36","    17393.36","   110260.25","  1524355.75","   496394.19","   761401.06","    58857.57"," 12414852.00","   657934.38"," 35615876.00","  8166665.00","  3309442.50","411867712.00","  4643123.50","   124346.22","Rep1"
"Fourth_Initial_LD_Day2_ZT12_133","Fourth","Initial","LD","Day2","ZT12","133","181009440.0","        0.0","   475322.3","    30209.7","        0.0","  4918875.5","   508624.1","  2380134.8","    28869.3"," 21544036.0","  1164695.4"," 98633560.0","  1050119.2"," 15999118.0","689910720.0"," 17297194.0","   235932.6","Rep1"
"Fourth_Initial_LD_Day2_ZT0_115","Fourth","Initial","LD","Day2","ZT0","115"," 48600364.00","        0.00","   207436.66","        0.00","    58196.61","   920570.38","   234710.09","   636427.94","    17352.54"," 11061178.00","   477722.19"," 43432544.00","  4138483.00","  2672819.50","354160032.00","  4613843.00","   123071.10","Rep1"
"Fourth_Initial_LD_Day2_ZT4_125","Fourth","Initial","LD","Day2","ZT4","125","   575369.94","   399717.09","        0.00","        0.00","        0.00","  2547923.25","  1416339.50","        0.00","    21596.04"," 32350246.00","  5595073.00"," 62133376.00","  1538542.88","  4480886.00","355555616.00"," 11132133.00","   420001.88","Rep1"
"Fourth_Initial_LD_Day2_ZT16_139","Fourth","Initial","LD","Day2","ZT16","139","4.599695e+07","0.000000e+00","1.257352e+05","7.350325e+03","2.032700e+04","1.966866e+06","3.100451e+05","1.230679e+06","5.672259e+04","1.408340e+07","1.573364e+06","7.829762e+07","4.366348e+06","5.796535e+06","8.403022e+08","2.236704e+07","9.237329e+04","Rep1"
"Fourth_Initial_LD_Day1_ZT8_92","Fourth","Initial","LD","Day1","ZT8","92"," 69618232.00","        0.00","        0.00","    13694.29","    31702.67","  2560573.00","   525599.62","  2480340.25","    27521.87"," 13615456.00","   927629.38"," 64039552.00","  5548659.50"," 11942579.00","917539648.00"," 19933892.00","   106045.41","Rep1"
"Fourth_Initial_LD_Day2_ZT8_127","Fourth","Initial","LD","Day2","ZT8","127","8.091050e+07","0.000000e+00","0.000000e+00","0.000000e+00","2.189552e+04","2.407972e+06","3.371168e+05","1.052151e+06","2.792049e+05","6.593935e+06","9.392922e+05","4.938501e+07","5.422272e+06","1.324469e+07","1.005069e+09","2.084984e+07","1.782988e+05","Rep1"
"Fourth_Initial_LD_Day1_ZT20_112","Fourth","Initial","LD","Day1","ZT20","112","8.669325e+07","0.000000e+00","2.372975e+05","6.839227e+03","2.100663e+04","2.895350e+06","2.276019e+05","1.860096e+06","9.988649e+04","1.741917e+07","1.193268e+06","3.129922e+07","1.738836e+06","1.533082e+07","9.981800e+08","3.169739e+07","1.260267e+05","Rep1"
