bra,agi,Tair10_desc
Bo1g153410,AT3G03970,binding
Bo6g097340,AT1G53310,ATPPC1 (PHOSPHOENOLPYRUVATE CARBOXYLASE 1); catalytic/ phosphoenolpyruvate carboxylase
Bo8g100080,AT2G24180,CYP71B6 (CYTOCHROME P450 71B6); electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding
Bo9g078070,AT4G04490,protein kinase family protein
Bo9g175580,AT5G07510,GRP14; lipid binding / nutrient reservoir
Bo1g016480,AT4G29370,kelch repeat-containing F-box family protein
Bo1g019330,AT4G18250,receptor serine/threonine kinase putative
Bo1g019800,AT4G18660,unknown protein
Bo1g070600,AT3G46480,iron ion binding / oxidoreductase/ oxidoreductase acting on paired donors with incorporation or reduction of molecular oxygen 2-oxoglutarate as one donor and incorporation of one atom each of oxygen into both donors
Bo1g092840,AT1G60450,AtGolS7 (Arabidopsis thaliana galactinol synthase 7); transferase transferring glycosyl groups / transferase transferring hexosyl groups
Bo1g105240,AT3G21370,BGLU19 (BETA GLUCOSIDASE 19); catalytic/ cation binding / hydrolase hydrolyzing O-glycosyl compounds
Bo1g139680,AT3G12020,kinesin motor protein-related
Bo2g017750,AT5G19151,unknown protein
Bo2g064170,AT1G69540,AGL94 (AGAMOUS-LIKE 94); DNA binding / transcription factor
Bo2g064270,AT1G69650,meprin and TRAF homology domain-containing protein / MATH domain-containing protein
Bo2g141730,AT3G27460,unknown protein
Bo2g159110,AT5G25410,unknown protein
Bo2g160740,AT5G24140,SQP2; FAD binding / oxidoreductase/ squalene monooxygenase
Bo2g164240,AT5G62530,ALDH12A1; 1-pyrroline-5-carboxylate dehydrogenase/ 3-chloroallyl aldehyde dehydrogenase
Bo3g004440,AT5G07510,GRP14; lipid binding / nutrient reservoir
Bo3g045130,AT4G11120,translation elongation factor Ts (EF-Ts) putative
Bo3g045600,AT4G12130,aminomethyltransferase
Bo3g083340,AT3G24508,Encodes a defensin-like (DEFL) family protein.
Bo3g083320,AT3G24515,UBC37 (ubiquitin-conjugating enzyme 37); small conjugating protein ligase/ ubiquitin-protein ligase
Bo3g093740,AT2G17760,aspartyl protease family protein
Bo3g094190,AT2G18450,SDH1-2; succinate dehydrogenase
Bo3g099070,AT5G65540,unknown protein
Bo3g110790,AT3G49190,condensation domain-containing protein
Bo3g167590,AT4G34710,ADC2 (ARGININE DECARBOXYLASE 2); arginine decarboxylase
Bo3g175700,AT4G30210,ATR2 (ARABIDOPSIS P450 REDUCTASE 2); NADPH-hemoprotein reductase
Bo4g012590,AT2G40460,proton-dependent oligopeptide transport (POT) family protein
Bo4g024710,AT2G45510,CYP704A2; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding
Bo4g026610,AT2G39310,JAL22 (JACALIN-RELATED LECTIN 22)
Bo4g030180,AT2G37760,aldo/keto reductase family protein
Bo4g033440,AT2G35670,FIS2 (FERTILIZATION INDEPENDENT SEED 2); transcription factor
Bo4g108670,AT3G58090,FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 11 growth stages; CONTAINS InterPro DOMAIN/s: Plant disease resistance response protein (InterPro:IPR004265); BEST Arabidopsis thaliana protein match is: disease resistance-responsive family protein (TAIR:AT1G65870.1).
Bo4g140150,AT5G40430,MYB22 (myb domain protein 22); DNA binding / transcription factor
Bo4g151920,AT2G24600,ankyrin repeat family protein
